"PointID","OSEWellID","OSEWelltagID","HoleDepth","WellDepth","CasingDiameter","CasingDepth","CasingDescription","FormationZone","Meaning"
"SO-0205","X","","52","51","0.17000000178813934","","","","Observation"
"NM-06250","","","","402","","","","112SNTF","Public supply"
"NM-12473","","","","","","","","121OGLL","Livestock"
"NM-15387","","","","156","","","","210CRCS","Domestic"
"NM-22799","","","620","460","","","","325MDER","Domestic"
"NM-22448","","","","","","","","","Unused"
"NM-03956","","","775","","","","","110BLSN","Irrigation"
"QY-0187","","","365","365","1.0833333730697632","","","","Unknown"
"NM-04674","","","","80","","","","110AVMB","Unused"
"NM-12667","","","","145","","","","121OGLL","Unused"
"NM-16541","","","","","","","","110AVMB","Unused"
"NM-07226","","","","90","","","","110AVMB","Livestock"
"NM-13726","","","","342","","","","313SADR","Irrigation"
"SO-0110","","","","","","","","112SNTF","Open, unequipped well"
"NM-25545","","","10365","638","","","","211OJAM","Industrial"
"PC-050","X","","300","300","","","","211MENF","Unknown"
"SB-0432","X","","","633","","","","318BSVP","Irrigation"
"NM-15032","","","","","","","","120DTIL","Livestock"
"NM-25562","","","758","711","","","","211OJAM","Public supply"
"NM-07273","","","","","","","","121OGLL","Livestock"
"NM-14091","","","","231","","","","313SADR","Irrigation"
"NM-01309","RG-82776","","220","220","","","","","Unused"
"NM-23904","","","","181","","","","","Irrigation"
"NM-18584","","","300","","","","","211MVRD","Unused"
"NM-22937","","","","32","","","","231CHNL","Livestock"
"NM-03871","","","","296","","","","","Livestock"
"NM-21043","","","","","","","","221ZUNIS","Unused"
"WL-0080","UP-04657 POD2","","900","882","0.4099999964237213","880","","310SGRC","Domestic"
"NM-11684","","","","205","","","","110AVMB","Irrigation"
"NM-14794","","","","128","","","","110AVMB","Unused"
"NM-01969","","","","350","","","","110AVMB","Irrigation"
"NM-11650","","","","155","","","","110AVMB","Domestic"
"NM-21849","","","51","51","","","","112SNTF","Unused"
"NM-03575","","","","","","","","","Unused"
"NM-12908","","","","6","","","","110AVMB","Unused"
"SV-0119","RG-88214","","335","335","0.41999998688697815","335","","325MDER","Domestic"
"NM-18229","","","","","","","","110AVMB","Livestock"
