"PointID","OSEWellID","OSEWelltagID","HoleDepth","WellDepth","CasingDiameter","CasingDepth","CasingDescription","FormationZone","Meaning"
"QU-047","","","","157","","","","110AVMB","Unused"
"NM-03744","","","","250","","","","","Irrigation"
"NM-21254","","","14","14","","","","112SNTF","Unused"
"NM-12467","","","","123","","","","110AVMB","Domestic"
"NM-18772","","","","","","","","112SNTF","Livestock"
"NM-09388","","","","110","","","","121OGLL","Irrigation"
"NM-14316","","","","50","","","","110AVMB","Domestic"
"NM-22572","","","","78","","","","231CHNL","Livestock"
"NM-12061","","","","1075","","","","313SADR","Irrigation"
"NM-14754","","","","30","","","","313ARTS","Livestock"
"NM-05445","","","","265","","","","110AVMB","Unused"
"NM-19178","","","","","","","","121OGLL","Livestock"
"TO-0225","","","","75","0.8333333134651184","","","112QTBF","Public supply"
"NM-12464","","","","120","","","","121OGLL","Irrigation"
"NM-21920","","","","100","","","","111MCCR","Livestock"
"QY-0274","","","17","17","0.5","","","","Unknown"
"NM-19826","","","","","","","","110AVMB","Unused"
"NM-14724","","","","","","","","110AVMB","Livestock"
"NM-22372","","","","","","","","","Irrigation"
"NM-21975","","","","","","","","310GLOR","Livestock"
"NM-25835","","","655","655","","","","211MENF","Livestock"
"NM-19371","","","","152","","","","231SNRS","Domestic"
"NM-15818","","","","130","","","","","Observation"
"QY-0181","","","620","620","1.0833333730697632","","","110AVMB/220ENRD","Unknown"
"EB-057","RG-53219","","430","430","0.550000011920929","430","","400EMBD","Unused"
"NM-11224","","","","1187","","","","313SADR","Irrigation"
"NM-02255","","","","350","","","","","Livestock"
"NM-07101","","","","72","","","","400PCMB","Observation"
"EB-663","RG-86221","","1800","1580","0.41999998688697815","1620","","121TSUQs","Observation"
"TB-0161","T-02060","","70","70","0.5","","","050QUAL","Domestic"
"NM-12619","","","","1100","","","","313SADR","Unused"
"NM-11649","","","","135","","","","110AVMB","Irrigation"
"NM-02181","","","121","121","","","","112SNTF","Unused"
"NM-12948","","","","65","","","","110AVMB","Unused"
"PC-037","X","","80","80","","","","220ENRD","Domestic"
"NM-10516","","","","172","","","","110AVMB","Irrigation"
"NM-18288","","","365","365","","","","121OGLL","Unused"
"NM-14570","","","","","","","","121OGLL","Unused"
"NM-27856","","","","60","","","","110AVMB","Livestock"
"NM-10905","","","","","","","","121OGLL","Livestock"
"NM-13614","","","","","","","","121OGLL","Unused"
"NM-02969","","","","100","","","","121OGLL","Livestock"
"NM-00797","","","","","","","","","Livestock"
"NM-04094","","","350","315","","","","110AVMB","Irrigation"
"NM-20879","","","","107","","","","110AVMB","Livestock"
"NM-07171","","","","795","","","","312RSLR","Livestock"
"DA-0141","","","","","","","","112SNTF","Livestock"
"NM-12999","","","","60","","","","121OGLL","Domestic"
"NM-14015","","","","54","","","","121OGLL","Livestock"
"NM-26136","","","74","74","","","","","Domestic"
"NM-21466","","","400","","","","","000IRSV","Commercial"
"NM-08407","","","","117","","","","121OGLL","Unused"
"NM-04897","","","","65","","","","110AVMB","Domestic"
"NM-06378","","","","75","","","","110AVMB","Unused"
"NM-00902","","","","200","","","","231CHNL","Livestock"
"NM-00430","","","","178","","","","121OGLL","Irrigation"
"NM-03078","","","223","223","","","","112SNTF","Domestic"
"NM-07733","","","","745","","","","","Irrigation"
"DA-0050","","","","390","","","","112SNTF","Domestic"
"NM-16031","","","","152","","","","","Livestock"
"NM-15282","","","","148","","","","210CRCS","Irrigation"
"NM-02743","RA-01250-S","","","168","","","","110AVMB","Irrigation"
"NM-08520","","","","","","","","231CHNL","Livestock"
"NM-19941","","","","100","","","","110AVMB","Livestock"
"NM-21884","","","100","100","","","","110AVMB","Domestic"
"NM-00900","","","","","","","","124BACA","Livestock"
"NM-02887","","","","100","","","","","Observation"
"NM-09918","","","","225","","","","110AVMB","Irrigation"
"NM-05451","LRG-08447","","580","580","1.3300000429153442","580","","110AVMB","Irrigation"
"NM-26800","","","","750","","","","","Domestic"
"BW-0713","","","","364","","","","313SADR","Shared domestic"
"NM-07286","","","","","","","","110AVMB","Unused"
"NM-03186","","","","230","","","","110AVMB","Irrigation"
"QY-0940","","","44","44","0.4166666567325592","","","110AVMB","Livestock"
"NM-12301","","","","1007","","","","313SADR","Unused"
"NM-21486","","","230","230","","","","231CHNL","Public supply"
"NM-21348","","","125","125","","","","110AVMB","Livestock"
"NM-15515","","","","190","","","","210CRCS","Irrigation"
"TO-0365","","","","300","1.3333333730697632","","","112QTBF","Irrigation"
"NM-13808","","","","","","","","","Livestock"
"NM-00761","","","","40","","","","310YESOG","Livestock"
"TB-0123","X","","","","0.5400000214576721","","","180TKSCC_Upper","Unused"
"NM-23206","","","1085","","","","","221WSRC","Industrial"
"NM-04265","","","","","","","","110AVMB","Livestock"
"NM-23265","","","","220","","","","","Public supply"
"NM-16509","","","","90","","","","110AVMB","Unused"
"NM-14823","","","185","","","","","","Unused"
"NM-15060","","","140","140","","","","112SNTF","Domestic"
"NM-04859","","","","","","","","","Unused"
"NM-04734","","","","84","","","","110AVMB","Domestic"
"NM-09257","","","","130","","","","121OGLL","Unused"
"NM-22185","","","","283","","","","","Domestic"
"PC-118","X","","405","405","","","","112SNTFP","Domestic"
"NM-22999","","","16","16","","","","112SNTF","Unused"
"NM-17643","","","","99","","","","110AVMB","Unused"
"NM-24579","","","","54","","","","","Unused"
"NM-10005","","","","","","","","","Unused"
"NM-21694","","","","500","","","","","Irrigation"
"NM-09406","","","1035","","","","","","Livestock"
"NM-26765","","","","","","","","110AVMB","Unused"
"NM-04795","","","60","60","","","","112SNTF","Domestic"
"NM-03431","","","","575","","","","","Institutional"
"NM-05173","","","","","","","","121OGLL","Unused"
"NM-00038","","","","56","","","","312CSTL","Livestock"
"NM-21477","","","684","684","","","","","Unused"
"NM-14583","","","","45","","","","110AVMB","Unused"
"NM-02277","","","1000","685","","","","112SNTF","Public supply"
"NM-07103","","","","120","","","","121OGLL","Livestock"
"UC-0151","CT-00160","","60","60","0.33000001311302185","","","","Livestock"
"NM-01627","","","247","247","","","","124SNJS","Unused"
"QY-0419","","","20","20","1.1666666269302368","","","110ALVM","Livestock"
"NM-18765","","","","80","","","","110AVMB","Domestic"
"NM-18100","","","","124","","","","110AVMB","Irrigation"
"NM-02155","","","433","433","","","","110AVMB","Irrigation"
"NM-10606","","","","806","","","","313SADR","Unused"
"NM-22346","","","","","","","","110AVMB","Livestock"
"NM-02278","","","","","","","","","Livestock"
"SM-0143","PN-00881","","760","760","0.41600000858306885","760","","260SNAN","Livestock"
"NM-12716","","","","","","","","121OGLL","Unused"
"MI-0184","","","","850","","","","220ENRD","Industrial"
"NM-02785","","","","","","","","121OGLL","Livestock"
"NM-01033","","","","94","","","","121OGLL","Livestock"
"NM-27734","","","","101","","","","110AVMB","Irrigation"
"NM-06922","","","","","","","","110AVMB","Unused"
"NM-26576","","","195","","","","","110AVMB","Domestic"
"NM-19311","","","","256","","","","211MVRD","Livestock"
"NM-05350","","","39","39","","","","110AVMB","Unused"
"NM-12826","","","","130","","","","121OGLL","Irrigation"
"WL-0017","G-00234 POD5","","393","210","0.7200000286102295","210","","","Public supply"
"NM-10146","","","","101","","","","121OGLL","Livestock"
"NM-01165","","","137","","","","","","Unused"
"NM-13945","","","","205","","","","313SADR","Domestic"
"NM-19943","","","","242","","","","121OGLL","Livestock"
"NM-18580","","","","","","","","110AVMB","Unused"
"NM-00940","","","","140","","","","110AVMB","Livestock"
"NM-03242","","","","275","","","","110AVMB","Irrigation"
"NM-17416","","","","100","","","","110AVMB","Unused"
"NM-24770","","","112","112","0.41999998688697815","112","","325MDER","Domestic"
"SB-0135","X","","","0","","","","110ALVM","Livestock"
"NM-18449","","","353","284","","","","121OGLL","Unused"
"NM-14527","","","","","","","","210CRCS","Irrigation"
"NM-02959","","","","202","","","","","Irrigation"
"NM-15924","","","","120","","","","","Unused"
"NM-13680","","","","90","","","","121OGLL","Irrigation"
"NM-15821","","","","","","","","","Livestock"
"NM-14063","","","","","","","","110AVMB","Unused"
"NM-15219","","","","100","","","","","Irrigation"
"NM-07458","","","","","","","","312RSLR","Unused"
"NM-09292","","","","","","","","","Irrigation"
"NM-14148","","","","13","","","","","Unused"
"EB-270","Exempt","","380","346","0.375","346","","121CHMTv","Observation"
"NM-05630","","","","","","","","","Irrigation"
"SD-0179","X","","310","310","0.375","","","300YESO","Domestic"
"NM-22065","","","","16","","","","","Unused"
"NM-19673","","","","438","","","","121OGLL","Irrigation"
"NM-14448","","","","110","","","","","Domestic"
"NM-09928","","","216","216","","","","","Irrigation"
"QY-0104","","","220","220","0.5","","","231CHNL","Livestock"
"NM-09212","","","","","","","","","Domestic"
"QY-0773","","","327","327","0.5833333134651184","","","231CHNL","Livestock"
"SB-0233","X","","","256","","","","318BSVP","Irrigation"
"NM-28230","","","","","","","","","Mining"
"EB-688","RG-79509","","800","800","0.550000011920929","800","","121TSUQs","Observation"
"UC-0069","X","","180","180","0.5","180","","221MRSN","Livestock"
"NM-06820","","","","138","","","","110AVMB","Domestic"
"NM-05793","","","","54","","","","","Unused"
"NM-25150","","","","285","","","","121OGLL","Irrigation"
"CX-0131","","","","20","","","","","Unused"
"NM-05979","","","","665","","","","112SNTF","Unused"
"NM-25449","","","252","252","","","","000IRSV","Domestic"
"NM-02419","","","","500","","","","110BLSN","Irrigation"
"NM-13567","","","","","","","","121OGLL","Unused"
"NM-24978","","","","60","","","","121OGLL","Irrigation"
"NM-25507","","","","130","","","","211DKOT","Unused"
"NM-27753","","","","","","","","110AVMB","Livestock"
"NM-07512","","","","30","","","","312RSLR","Irrigation"
"NM-21688","","","","60","","","","110AVMB","Unused"
"NM-14540","","","","30","","","","313ARTS","Livestock"
"NM-04157","","","","100","","","","","Irrigation"
"NM-18606","","","","375","","","","121OGLL","Irrigation"
"NM-17987","","","","","","","","121OGLL","Irrigation"
"NM-25118","RG-22842","","","760","0.550000011920929","760","","121TSUQ","Domestic"
"NM-26429","","","","16","","","","110AVMB","Unused"
"NM-12957","","","","","","","","121OGLL","Livestock"
"NM-17727","","","","78","","","","110AVMB","Livestock"
"NM-26182","","","1160","1146","","","","211OJAM","Public supply"
"NM-23726","","","","450","","","","310GLOR","Unused"
"NM-28455","X","","","","","","","","Observation"
"NM-22806","","","182","","","","","231WNGT","Livestock"
"NM-24636","","","325","100","","","","110AVMB","Public supply"
"NM-00163","","","","225","","","","110AVMB","Domestic"
"UC-0004","X","","175","175","","","","210MCDK","Unused"
"NM-21134","","","1460","1460","","","","231CHNL","Livestock"
"NM-26627","","","","35","","","","110NTGU","Observation"
"NM-25999","","","","","","","","121OGLL","Irrigation"
"EB-407","RG-26718","","250","247","0.5","250","","121TSUQs","Unused"
"NM-12883","","","","80","","","","","Observation"
"NM-13223","","","","143","","","","110AVMB","Institutional"
"NM-09141","","","","228","","","","121OGLL","Unused"
"EB-180","RG-39479","","360","360","0.46000000834465027","360","","121TSUQs","Domestic"
"AR-0099","SJ-02083","","23","23","","23","","","Domestic"
"NM-27850","","","","74","","","","110AVMB","Livestock"
"NM-02247","?","","175","175","0.5","","","110AVMB","Livestock"
"NM-13509","","","","","","","","121OGLL","Livestock"
"TB-0156","T-01538","","70","70","0.5","","","120TSBV_Upper","Unused"
"NM-10791","","","","210","","","","121OGLL","Irrigation"
"NM-09078","","","39","39","","","","110AVMB","Unused"
"NM-04843","","","","512","","","","231SNRS","Livestock"
"NM-03678","","","","66","","","","","Unused"
"NM-17685","","","","59","","","","110AVMB","Unused"
"NM-06695","","","","","","","","312CSTL","Unused"
"NM-00046","","","","196","","","","110AVMB","Domestic"
"SB-0733","X","","","615","","","","112HCBL","Unused"
"NM-14830","","","","","","","","","Domestic"
"NM-06606","","","875","450","","","","","Unused"
"NM-24797","","","","205","","","","","Domestic"
"NM-25751","","","152","152","","","","112SNTF","Domestic"
"NM-09024","","","","","","","","","Livestock"
"QY-0235","","","34","34","0.4166666567325592","","","220ENRD","Unknown"
"NM-13916","","","","203","","","","313SADR","Domestic"
"NM-23970","","","200","200","","","","325MDER","Domestic"
"NM-06122","","","299","272","","","","112SNTF","Unused"
"SO-0259","X","","55","55","0.17000000178813934","","","","Observation"
"EB-315","RG-11278","","","","0.5","","","112ANCH/121TSUQ","Domestic"
"NM-15609","","","142","142","","","","110AVMB","Livestock"
"NM-04993","","","182","","","","","","Livestock"
"NM-18125","","","","","","","","121OGLL","Livestock"
"NM-08858","","","","28","","","","","Domestic"
"NM-23757","","","","324","","","","231SNRS","Unused"
"NM-16019","","","89","89","","","","110BLSN","Domestic"
"NM-13032","","","","","","","","121OGLL","Livestock"
"TO-0070","","","","108","","","","310ABO","Unused"
"SB-0800","X","","","264","","","","210CRCS","Livestock"
"AR-0031","X","","","14","1.8799999952316284","","","","Irrigation"
"NM-01847","","","","","","","","110AVMB","Irrigation"
"MI-0127","","","","21","","","","321SGDC","Domestic"
"NM-00641","","","","130","","","","121OGLL","Irrigation"
"NM-05441","","","240","","","","","","Livestock"
"NM-17915","","","","96","","","","110AVMB","Livestock"
"NM-17699","","","","190","","","","231CHNL","Livestock"
"NM-03483","","","","155","","","","","Irrigation"
"NM-06535","","","670","670","","","","112SNTF","Public supply"
"NM-13422","","","","136","","","","121OGLL","Unused"
"NM-22307","","","","114","","","","231CHNL","Irrigation"
"NM-10920","","","","100","","","","121OGLL","Irrigation"
"NM-04417","","","175","","","","","","Livestock"
"NM-12785","","","","","","","","313ARTS","Livestock"
"SB-0108","X","","","1185","","","","313DLRM","Livestock"
"NM-07660","","","","","","","","","Irrigation"
"EB-290","RG-28064 X","","750","750","0.5600000023841858","750","","121TSUQsf","Domestic"
"NM-11483","","","","","","","","112SNTF","Domestic"
"NM-08400","","","","700","","","","231SNRS","Livestock"
"NM-24417","","","","13","","","","110AVMB","Unused"
"NM-03966","","","","","","","","110AVMB","Livestock"
"SA-0208","RG-92687","","900","900","","","","123DTMGign","Livestock"
"NM-27068","","","","45","","","","","Domestic"
"NM-04537","","","","163","","","","110AVMB","Irrigation"
"TO-0468","","","","80","","","","310GLOR","Livestock"
"NM-28033","","","15","","","","","110AVMB","Domestic"
"TB-0006","T-00025 AA","","440","440","0.6700000166893005","440","","112QTBF","Irrigation"
"NM-09411","","","","230","","","","121OGLL","Unused"
"NM-12475","","","","207","","","","121OGLL","Irrigation"
"TO-0318","","","","212","1.3333333730697632","","","112QTBF","Irrigation"
"NM-17651","","","","","","","","110AVMB","Livestock"
"PB-0022","X","","","","","","","","Shared domestic"
"NM-14942","","","","165","","","","","Observation"
"NM-20069","","","","","","","","121OGLL","Livestock"
"NM-18752","","","","300","","","","110AVMB","Livestock"
"NM-23127","","","29","29","","","","110AVMB","Observation"
"TO-0312","","","","","","","","112QTBF","Unknown"
"NM-24795","","","","393","","","","121TSUQ","Domestic"
"NM-05011","LRG-00955","","360","360","0.6200000047683716","360","","110AVMB","Livestock"
"RA-078","","","","","4","","","","Domestic"
"NM-15433","","","","130","","","","","Observation"
"NM-00811","","","400","","","","","310YESOG","Livestock"
"NM-11387","","","","105","","","","121OGLL","Unused"
"NM-18832","","","","416","","","","121OGLL","Irrigation"
"NM-00196","","","","160","","","","110AVMB","Irrigation"
"NM-15197","","","","180","","","","","Irrigation"
"NM-13503","","","","516","","","","313SADR","Domestic"
"NM-23412","","","","65","","","","231CHNL","Livestock"
"NM-03777","","","50","50","","","","","Livestock"
"NM-27961","","","","","","","","211DKOT","Unused"
"NM-21323","RG-52882","","230","230","0.3799999952316284","220","","","Domestic"
"NM-09093","","","","172","","","","313SADR","Irrigation"
"NM-08490","","","","","","","","","Unused"
"NM-23047","","","","","","","","211DKOT","Livestock"
"UC-0187","CT-00583","","380","380","0.5","","","","Livestock"
"NM-21236","","","29","29","","","","112SNTF","Unused"
"NM-01729","","","746","746","","","","125NCMN","Livestock"
"NM-03009","","","","132","","","","110AVMB","Irrigation"
"NM-13085","","","","","","","","121OGLL","Livestock"
"NM-05107","","","230","230","","","","","Irrigation"
"NM-18438","","","","","","","","121OGLL","Livestock"
"NM-20491","","","","","","","","121OGLL","Livestock"
"NM-05556","","","397","397","","","","","Irrigation"
"NM-12696","","","","46","","","","","Observation"
"NM-22331","","","","","","","","110AVMB","Irrigation"
"TB-0311","T-04302","","300","300","0.6700000166893005","","","","Irrigation"
"NM-19495","","","","","","","","121OGLL","Livestock"
"SB-0690","X","","","1100","","","","112HCBL","Livestock"
"NM-04591","","","","","","","","110AVMB","Irrigation"
"NM-03390","","","","99","","","","112SNTF","Unused"
"NM-03847","","","78","75","","","","110AVMB","Unused"
"NM-20019","","","","","","","","210MCDK","Livestock"
"NM-17081","","","","121","","","","110AVMB","Irrigation"
"NM-19255","","","","150","","","","231SNRS","Livestock"
"TB-0239","X","","","","","","","180TKSCC_Upper","Livestock"
"NM-08745","","","473","472","","","","121GILA","Public supply"
"NM-22762","","","466","466","","","","221MRSN","Unused"
"NM-03519","","","","","","","","","Domestic"
"NM-03951","","","696","","","","","121GILA","Irrigation"
"NM-27759","","","","","","","","110AVMB","Unused"
"NM-08636","","","","","","","","110AVMB","Domestic"
"NM-06085","","","78","48","","","","110AVMB","Unused"
"NM-08996","","","","697","","","","313GRBG","Unused"
"EB-364","RG-45867","","214","214","0.41999998688697815","214","","121TSUQs","Observation"
"NM-17775","","","","390","","","","","Unused"
"NM-04288","","","","70","","","","110AVMB","Livestock"
"NM-10199","","","3507","3507","","","","","Livestock"
"TO-0150","","","","158","1.5","","","112QTBF","Irrigation"
"NM-02303","","","200","200","","","","110AVMB","Livestock"
"NM-17188","","","","","","","","110AVMB","Domestic"
"NM-04291","","","","","","","","","Irrigation"
"NM-11190","","","","115","","","","121OGLL","Livestock"
"NM-09649","","","","","","","","313GRBG","Unused"
"NM-10173","","","","1320","","","","313SADR","Unused"
"NM-18521","","","","357","","","","121OGLL","Public supply"
"SV-0081","RG-81065","","785","785","0.46000000834465027","785","","325MDER","Domestic"
"NM-25970","","","198","198","","","","124SNJS","Unused"
"NM-05042","","","70","70","","","","110AVMB","Unused"
"QU-177","RG-91462","","200","196","0.5600000023841858","196","","","Livestock"
"NM-10009","","","20","20","","","","110AVMB","Domestic"
"NM-16254","","","","440","","","","110AVMB","Industrial"
"NM-17420","","","","96","","","","110AVMB","Unused"
"NM-00735","","","610","595","","","","120SBLC","Unused"
"NM-14534","","","","156","","","","121OGLL","Domestic"
"NM-10110","","","391","","","","","","Livestock"
"SM-0023","X","","337","337","","","","300YESO","Institutional"
"NM-26382","","","863","863","","","","211FRMG","Unused"
"NM-15137","","","","","","","","318ABOU","Unused"
"NM-11488","","","","80","","","","110AVMB","Irrigation"
"NM-17049","","","","","","","","231CHNL","Livestock"
"NM-18814","","","","35","","","","110AVMB","Livestock"
"NM-19542","","","10","10","","","","110AVMB","Livestock"
"NM-09209","","","","","","","","","Domestic"
"HS-053","X","","","","0.5","","","","Domestic"
"NM-12126","","","136","136","","","","121OGLL","Irrigation"
"NM-16593","","","","90","","","","110AVMB","Unused"
"ED-0029","","","","","0.5","","","231DCKM","Livestock"
"NM-03167","","","","192","","","","231SNRS","Public supply"
"NM-02502","","","","900","","","","","Unused"
"NM-19381","","","","151","","","","211CRVC","Livestock"
"NM-06980","","","","293","","","","313YATS","Domestic"
"NM-18295","","","","","","","","231SNRS","Livestock"
"NM-14673","","","","200","","","","","Irrigation"
"NM-02407","?","","","200","2","","","110AVMB","Open, unequipped well"
"NM-25795","","","","90","","","","211DKOT","Irrigation"
"NM-12069","","","","120","","","","110AVMB","Unused"
"NM-26655","","","","","","","","110AVMB","Irrigation"
"NM-01566","","","","84","","","","110AVMB","Unused"
"NM-26431","","","","","","","","","Unused"
"QY-1005","","","50","50","0.5","","","110ALVM","Unknown"
"NM-02598","","","","219","","","","313SADR","Domestic"
"NM-18764","","","","","","","","110AVMB","Domestic"
"NM-10365","","","","394","","","","313ARTS","Unused"
"NM-06644","","","","458","","","","313SVRV","Irrigation"
"NM-13362","","","","","","","","110AVMB","Irrigation"
"NM-04571","","","","128","","","","312RSLR","Unused"
"WL-0146","RG-84117 POD1","","500","500","0.4000000059604645","500","","112SNTFP","Shared domestic"
"NM-08293","","","","","","","","121OGLL","Unused"
"NM-11994","","","","","","","","110AVMB","Unused"
"QY-0615","","","115","115","1.25","","","121OGLL","Irrigation"
"NM-02073","","","","","","","","","Irrigation"
"SB-0033","X","","","0","","","","313CRCX","Unused"
"NM-25217","","","","194","","","","121OGLL","Irrigation"
"GT-014","GSF-00869","","50","50","6.625","40","","","Domestic"
"TB-0134","T-02343","","60","60","0.6000000238418579","","","112QTBF","Irrigation"
"NM-25117","","","650","650","","","","211HOST","Livestock"
"TO-0299","","","","237","","","","112QTBF","Unknown"
"NM-26059","","","","","","","","121OGLL","Irrigation"
"EB-060","RG-28064 X2","","727","725","0.550000011920929","725","","121TSUQs","Unused"
"NM-08782","","","","","","","","","Unused"
"NM-26982","","","","80","","","","","Domestic"
"NM-08107","","","","366","","","","313ARTS","Unused"
"NM-13653","","","","322","","","","313SADR","Irrigation"
"NM-16157","","","","160","","","","210CRCS","Domestic"
"NM-05388","","","35","35","","","","110AVMB","Unused"
"SA-0449","","","","160","0.46875","","","","Shared domestic"
"NM-04225","","","","","","","","110AVMB","Domestic"
"NM-15338","","","","","","","","","Unused"
"NM-03073","","","","292","","","","121OGLL","Irrigation"
"NM-24383","","","","","","","","","Domestic"
"NM-14802","","","","440","","","","313SADR","Unused"
"NM-14119","","","","48","","","","110AVMB","Domestic"
"NM-24329","","","","140","","","","112SNTF","Domestic"
"NM-08788","","","","274","","","","121GILA","Unused"
"NM-25830","","","","","","","","110AVMB","Public supply"
"NM-14423","","","","68","","","","110AVMB","Domestic"
"NM-19225","","","","491","","","","121OGLL","Irrigation"
"QY-0276","","","190","190","0.5","","","231CHNL","Unknown"
"NM-21723","","","1987","1623","","","","112SNTF","Unused"
"NM-19288","","","","23","","","","","Unused"
"NM-27080","","","","152","","","","","Domestic"
"NM-05195","","","488","488","1.2000000476837158","","","110AVMB","Open, unequipped well"
"NM-18568","","","","47","","","","121OGLL","Livestock"
"QY-0836","","","174","174","0.5","","","121OGLL","Livestock"
"NM-22985","","","35","35","","","","112SNTF","Unused"
"NM-18830","","","","176","","","","","Livestock"
"NM-07863","","","","110","","","","121OGLL","Irrigation"
"NM-11461","","","","","","","","121OGLL","Livestock"
"BW-0833","","","","","0.5","","","112ANCH","Shared domestic"
"NM-05934","","","275","","","","","","Irrigation"
"SB-0346","X","","","500","","","","318BSVP","Domestic"
"NM-24660","","","","200","","","","","Unused"
"NM-25717","","","505","505","","","","211CLFHV","Livestock"
"WL-0330","","","","","0.5","","","","Domestic"
"NM-15378","","","","125","","","","","Domestic"
"NM-06751","","","164","159","","","","400PCMB","Observation"
"NM-10927","","","","","","","","121OGLL","Livestock"
"NM-22017","","","","22","","","","110AVMB","Livestock"
"NM-16446","","","","","","","","","Livestock"
"NM-27466","","","","270","","","","313SADR","Livestock"
"NM-15375","","","","107","","","","","Unused"
"NM-19408","","","","","","","","110AVMB","Unused"
"NM-24064","","","","180","","","","123GLST","Domestic"
"NM-07197","","","330","","","","","","Livestock"
"NM-07438","","","589","","","","","","Livestock"
"NM-03530","","","","187","","","","121OGLL","Livestock"
"NM-09156","","","","525","","","","","Livestock"
"NM-11548","","","","179","","","","110AVMB","Irrigation"
"NM-05186","","","","","","","","","Irrigation"
"TO-0301","","","","315","1.3333333730697632","","","112QTBF","Irrigation"
"NM-12526","","","","","","","","121OGLL","Irrigation"
"NM-06647","","","","250","","","","312RSLR","Unused"
"NM-13904","","","","230","","","","110AVMB","Irrigation"
"NM-06227","","","","84","","","","110AVMB","Unused"
"SA-0008","","","","","0.5","","","112QTBFppm/123DTMGign","Livestock"
"NM-06753","","","","728","","","","","Observation"
"NM-25036","","","","","","","","","Irrigation"
"NM-00861","","","337","337","","","","","Livestock"
"NM-14476","","","100","","","","","110AVMB","Livestock"
"NM-04093","","","596","596","","","","110AVMB","Irrigation"
"NM-08881","","","","46","","","","110AVMB","Livestock"
"NM-07227","","","400","","","","","","Industrial"
"EB-465","RG-49052","","260","260","0.5","250","","123ESPN/112ANCH","Domestic"
"NM-12503","","","1120","1120","","","","313SADR","Irrigation"
"NM-26099","","","26","26","","","","110AVMB","Domestic"
"NM-05560","","","140","","","","","","Irrigation"
"SD-0252","X","","160","160","0.4166666567325592","","","231CHNL","Domestic"
"NM-13418","","","","508","","","","313SADR","Unused"
"NM-00030","","","","140","","","","312RSLR","Unused"
"NM-21913","","","","82","","","","231CHNL","Irrigation"
"NM-26102","","","806","806","","","","","Livestock"
"NM-22126","","","","","","","","","Livestock"
"BC-0013","S-00081","","140","140","0.41999998688697815","140","","","Domestic"
"QY-0524","","","150","150","0.3333333432674408","","","121OGLL/210CRCS","Livestock"
"NM-19407","","","","75","","","","121OGLL","Livestock"
"QY-0281","","","","","0.5","","","231CHNL","Unknown"
"NM-09051","","","","","","","","","Livestock"
"NM-02839","","","","550","","","","313SADR","Irrigation"
"NM-24471","","","200","200","","","","","Domestic"
"NM-17421","","","","","","","","110AVMB","Unused"
"NM-25394","","","","63","","","","110AVMB","Domestic"
"RA-014","RG-50783","","61","","0.44999998807907104","","","050QUAL","Domestic"
"NM-05179","","","","84","","","","110AVMB","Unused"
"NM-25561","","","","75","","","","","Domestic"
"SO-0019","","","","285","","","","112SNTF","Domestic"
"NM-16530","","","","172","","","","","Livestock"
"NM-23754","","","","","","","","231SNRS","Commercial"
"NM-11435","","","","171","","","","110AVMB","Irrigation"
"NM-01384","","","350","347","","","","313SADR","Irrigation"
"NM-03983","","","602","","","","","110AVMB","Irrigation"
"WL-0280","H-00014 POD2","","","","","","","","Open, unequipped well"
"NM-25621","","","1811","1811","","","","211MENF","Livestock"
"NM-13309","","","","58","","","","121OGLL","Livestock"
"NM-22563","","","340","","","","","313SADG","Domestic"
"NM-26178","","","","","","","","211DKOT","Irrigation"
"AH-001","RG-70551","","400","400","0.7300000190734863","400","","","Domestic"
"NM-00738","","","","153","","","","","Livestock"
"EB-317","RG-22251 X6","","200","200","0.5","200","","121TSUQs","Unused"
"TC-224","RG-75708","","900","900","0.5","","","","Livestock"
"NM-13120","","","","60","","","","110AVMB","Unused"
"NM-22274","","","","","","","","325MDER","Domestic"
"NM-07119","","","217","","","","","","Irrigation"
"NM-15846","","","","120","","","","","Unused"
"NM-08242","","","","449","","","","","Livestock"
"NM-23451","","","","96","","","","231CHNL","Livestock"
"NM-15905","","","","","","","","121OGLL","Domestic"
"QY-0900","","","24","24","2.5","","","231CHNL","Livestock"
"NM-26899","","","","260","","","","","Domestic"
"NM-27433","","","","216","","","","121OGLL","Irrigation"
"NM-27842","","","","200","","","","231SNRS","Livestock"
"NM-22054","","","","","","","","231CHNL","Irrigation"
"NM-15362","","","","","","","","","Irrigation"
"NM-18669","","","","210","","","","121OGLL","Livestock"
"NM-22078","","","","400","","","","325MDER","Domestic"
"NM-23666","","","","86","","","","110PTOD","Domestic"
"NM-11889","","","","6","","","","110AVMB","Unused"
"NM-01850","","","","580","","","","112SNTF","Unused"
"NM-16526","","","","","","","","110AVMB","Livestock"
"NM-06298","","","191","191","","","","112SNTF","Domestic"
"PB-0009","X","","50","50","","","","","Livestock"
"TB-0236","T-01918","","150","150","0.5","","","120TSBV_Upper","Livestock"
"NM-22058","","","380","380","","","","325MDER","Institutional"
"NM-18609","","","","418","","","","121OGLL","Irrigation"
"NM-25470","","","","97","","","","","Domestic"
"PC-094","RG-65361","","595","595","","","","112SNTFP","Domestic"
"SB-0152","X","","","302","","","","112SLBL","Livestock"
"EB-369","RG-53523","","425","425","0.3799999952316284","425","","121TSUQs","Commercial"
"NM-10174","","","250","250","","","","","Irrigation"
"NM-02722","","","","185","","","","","Livestock"
"NM-17431","","","","93","","","","110AVMB","Irrigation"
