CODE,MEANING,id
6,Monitor every six months,1
A,Annual water level,2
B,Monitoring bi-monthly,3
C,Monitoring complete,4
D,Datalogger installed,5
L,Monitor every 10 years (long-term monitor),6
M,Monitor monthly,7
Q,Sampling complete,8
R,Reported to NMBGMR bimonthly,9
S,Sample well,10
X,Water level cannot be measured,11
P,Repeat sampling,12
W,Wellntel device,13
N,Bi-annual (every other year),14
I,Inactive,15
H,Data share,16
