CODE,MEANING,id
A,Reported by another agency,1
D,From driller's log or well report,2
G,"Private geologist, consultant or univ associate",3
L,Depth interpreted fr geophys logs by source agency,4
M,"Memory of owner, operator, driller",5
O,Reported by owner of well,6
R,Reported by person other than driller owner agency,7
S,Measured by NMBGMR staff,8
Z,Other,9
P,Data Portal,10
