Code,Meaning,id
211MVRD,Mesaverde Group,112
211OJAM,Ojo Alamo Sandstone,113
211PCCF,Pictured Cliffs Sandstone,114
211PIRR,Pierre Shale,115
211PNLK,Point Lookout Sandstone,116
211SMKH,Smoky Hill Marl Member,117
211TLLS,Twowells Sandstone Lentil of Pike of Dakota Sandstone,118
212KTRP,"K Dakota Sandstone, Moenkopi Fm, Artesia Group",119
217PRGR,Purgatoire Formation,120
220ENRD,Entrada Sandstone,121
220JURC,Jurassic undivided,122
220NAVJ,Navajo Sandstone,123
221BLFF,Bluff Sandstone of Morrison Formation,124
221CSPG,Cow Springs Sandstone of Morrison Formation,125
221ERADU,"Entrada Sandstone of San Rafael Group, Upper",126
221MRSN,Morrison Formation,127
221MRSN/BBSN,Brushy Basin Member of Morrison,128
221MRSN/JCKP,Jackpile Sandstone Member of Morrison,129
221MRSN/RCAP,Recapture Shale Member of Morrison,130
221MRSN/WWCN,Westwater Canyon Member of Morrison,131
221SLWS,Salt Wash Sandstone Member of Morrison Formation,132
221SMVL,Summerville Formation of San Rafael Group,133
221TDLT,J Todilto,134
221WSRC,Westwater Canyon Sandstone Member of Morrison Formation,135
221ZUNIS,Zuni Sandstone,136
231AGZC,Tr Agua Zarca,137
231AGZCU,Tr Upper Agua Zarca,138
231CHNL,Chinle Formation,139
231CORR,Correo Sandstone Member of Chinle Formation,140
231DCKM,Dockum Group,141
231PFDF,Tr Petrified Forest,142
231PFDFL,Tr Lower Petrified Forest (below middle sandstone),143
231PFDFM,Tr Middle Petrified Forest sandstone,144
231PFDFU,Tr Upper Petrified Forest (above middle sandstone),145
231RCKP,Rock Point Member of Wingate Sandstone,146
231SNRS,Santa Rosa Sandstone,147
231SNSL,Sonsela Sandstone Bed of Petrified Forest Member of Chinle Formation,148
231SRMP,Shinarump Member of Chinle Formation,149
231WNGT,Wingate Sandstone,150
260SNAN,P San Andres,151
260SNAN_lower,Lower San Andres Formation,152
261SNGL,P San Andres - Glorieta Sandstone in Rio Bonito member,153
300YESO,P Yeso,154
300YESO_lower,Lower Yeso Formation,155
300YESO_upper,Upper Yeso Formation,156
310ABO,P Abo,157
310DCLL,De Chelly Sandstone Member of Cutler Formation,158
310GLOR,Glorieta Sandstone Member of San Andres Formation (of Manzano Group),159
310MBLC,Meseta Blanca Sandstone Member of Yeso Formation,160
310TRRS,Torres Member of Yeso Formation,161
310YESO,Yeso Formation,162
310YESOG,"Yeso Formation, Manzono Group",163
312CSTL,Castile Formation,164
312RSLR,Rustler Formation,165
313ARTS,Artesia Group,166
313BLCN,Bell Canyon Formation,167
313BRUC,Brushy Canyon Formation of Delaware Mountain Group,168
313CKBF,Chalk Bluff Formation,169
313CLBD,Carlsbad Limestone,170
313CPTN,Capitan Limestone,171
313GDLP,Guadalupian Series,172
313GOSP,Goat Seep Dolomite,173
313SADG,San Andres Limestone and Glorieta Sandstone,174
313SADR,"San Andres Limestone, undivided",175
313TNSL,Tansill Formation,176
313YATS,"Yates Formation, Guadalupe Group",177
315LABR,P Laborcita (Bursum),178
315YESOABO,Alamosa Creek and San Agustin Plains area - Yeso and Abo Formations,179
318ABO,P Abo,180
318BSPG,Bone Spring Limestone,181
318JOYT,Joyita Sandstone Member of Yeso Formation,182
318YESO,Yeso Formation,183
319BRSM,Bursum Formation and Equivalent Rocks,184
320HLDR,Penn Holder,185
320PENN,Pennsylvanian undivided,186
320SNDI,Sandia Formation,187
321SGDC,Sangre de Cristo Formation,188
322BEMN,Penn Beeman,189
325GBLR,Penn Gobbler,190
325MDER,"Madera Limestone, undivided",191
325MDERL,Penn Lower Madera,192
325MDERU,Penn Upper Madera,193
325SAND,Penn Sandia,194
326MGDL,Magdalena Group,195
340EPRS,Espiritu Santo Formation,196
350PZBA,Alamosa Creek and San Agustin Plains area - Paleozoic strata beneath Abo Fm,197
350PZBB,Tul Basin area - Paleozoic strata below Bursum Fm,198
400EMBD,Embudo Granite (undifferentiated PreCambrian near Santa Fe),199
400PCMB,Precambrian Erathem,200
400PREC,undifferentiated PreCambrian crystalline rocks (X),201
400PRECintr,PreCambrian crystalline rocks and local Tertiary intrusives,202
400PRST,Priest Granite,203
400TUSS,Tusas Granite,204
410PRCG,PreCambrian granite (Xg),205
410PRCGf,"PreCambrian granite, fractured (Xgf)",206
410PRCQ,PreCambrian quartzite (Xq),207
410PRCQf,"PreCambrian quartzite, fractured (Xqf)",208
121GILA,Gila Conglomerate (group),209
312DYLK,Dewey Lake Redbeds,210
120WMVL,Wimsattville Formation,211
313GRBG,Grayburg Formation of Artesia Group,212
318ABOL,Abo Sandstone (Lower Tongue),213
318ABOU,Abo Sandstone (Upper Tongue),214
112SNTFU,"Santa Fe Group, Upper Part",215
310FRNR,Forty-Niner Member of Rustler Formation,216
312OCHO,Ochoan Series,217
313AZOT,Azotea Tongue of Seven Rivers Formation,218
313QUEN,Queen Formation,219
319HUCO,Hueco Limestone,220
313SVRV,Seven Rivers Formation,221
313CABD,Carlsbad Group,222
320GRMS,Gray Mesa Member of Madera Formation,223
211CLRDH,Colorado Shale,224
120BRLM,Bearwallow Mountain Andesite,225
122RUBO,Rubio Peak Formation,226
313SADRL,"San Andres Limestone, Lower Cherty Member",227
313SADRU,"San Andres Limestone, Upper Clastic Member",228
313BRNL,Bernal Formation of Artesia Group,229
318CPDR,Chupadera Formation,230
121BDHC,Bidahochi Formation,231
313SADY,"San Andres Limestone and Yeso Formation, undivided",232
221SRFLL,"San Rafael Group, Lower Part",233
221BLUF,Bluff Sandstone of Morrison Formation,234
221COSP,Cow Springs Sandstone of Morrison Formation,235
317ABYS,"Abo and Yeso, undifferentiated",236
221BRSB,Brushy Basin Shale Member of Morrison Formation,237
310SYDR,San Ysidro Member of Yeso Formation,238
400SDVL,Sandoval Granite,239
221SRFL,San Rafael Group,240
310SGRC,Sangre de Cristo Formation,241
231TCVS,Tecovas Formation of Dockum Group,242
211DCRS,D-Cross Tongue of Mancos Shale of Mesaverde Group,243
211ALSN,Allison Member of Menefee Formation of Mesaverde Group,244
211LVNN,La Ventana Tongue of Cliff House Sandstone,245
