"PointID","SiteType","Easting","Northing","PublicRelease"
"NM-01604","GW","316651","4012160","false"
"NM-15888","GW","653190","3753330","false"
"NM-04371","GW","344206","3545950","false"
"NM-19904","GW","342769","3835400","false"
"MI-0087","GW","471129","3924184","true"
"NM-18364","GW","349139","3805400","false"
"NM-05898","GW","243093","3573920","false"
"BC-0411","GW","341045","3872056","false"
"NM-08766","GW","560798","3622570","false"
"NM-15137","GW","387359","3732550","false"
"NM-06058","GW","587277","3573990","false"
"NM-21586","GW","347500","3877550","false"
"NM-07793","GW","649566","3608850","false"
"NM-06091","GW","589519","3574750","false"
"NM-10560","GW","634800","3645760","false"
"ED-0014","GW","608090","3647710","true"
"BW-0008","GW","357712","3593880","true"
"NM-05092","GW","266357","3561860","false"
"NM-27083","GW","298055","3779890","true"
"NM-15681","GW","629798","3746970","false"
"NM-10094","GW","549399","3638030","false"
"SO-0081","GW","323899","3827830","true"
"BW-0752","GW","636375","3879150","true"
"NM-18601","GW","639918","3809510","false"
"NM-02240","GW","137702","3575110","false"
"MG-027","GW","297649","3779995","true"
"NM-06422","GW","673162","3583380","false"
"NM-16095","GW","658536","3759330","false"
"NM-20661","GW","676220","3851700","false"
"SD-0358","SP","386829","3868690","true"
"NM-25086","GW","421569","3954170","false"
"TO-0183","GW","398582","3833320","true"
"SB-0529","GW","466735","3459917","false"
"NM-14765","GW","610981","3718400","false"
"NM-21205","GW","316465","3868490","false"
"NM-20400","GW","655591","3844790","false"
"TO-0304","GW","400973","3851260","true"
"WL-0266","GW","329262","3571873","true"
"NM-04914","GW","211762","3560660","false"
"NM-28064","GW","238980","3901160","false"
"NM-17773","GW","664360","3794840","false"
"NM-17188","GW","632281","3784350","false"
"TO-0423","GW","416548","3874020","true"
"CX-0041","GW","579034","4049460","true"
"TO-0206","GW","381881","3846450","true"
"UC-0182","GW","656352","4023171","false"
"NM-16490","GW","663657","3773500","false"
"NM-02167","GW","333030","3565250","false"
"UC-0015","GW","669376","4044857","false"
"NM-11124","GW","481373","3652390","false"
"NM-27748","GW","594002","3792700","false"
"QY-0659","GW","618738","3835240","true"
"NM-05842","GW","674387","3571540","false"
"NM-18733","GW","601296","3811070","false"
"NM-00303","GW","375085","3611400","false"
"NM-05001","GW","342648","3558910","false"
"NM-17047","GW","653610","3782760","false"
"NM-03120","GW","613660","3810320","false"
"NM-21496","GW","378221","3875530","false"
"TB-0221","GW","420027","3719517","true"
"NM-09347","GW","665736","3630450","false"
"NM-01017","GW","662977","3828660","false"
"MI-0169","GW","591544","3927645","true"
"NM-10580","GW","554972","3645230","false"
"NM-02582","GW","409325","3625200","false"
"NM-13242","GW","269682","3690680","false"
"RA-055","GW","418900","4005828","true"
"NM-08820","GW","561132","3623280","false"
"NM-19015","GW","678582","3817630","false"
"NM-19144","GW","665553","3819850","false"
"NM-18965","GW","200145","3819210","false"
"BC-0363","GW","383369","3890838","true"
"NM-24571","GW","404661","3940190","false"
"NM-23438","GW","381920","3904530","false"
"NM-22738","GW","351928","3890890","false"
"SM-0147","GW","468326","3641961","true"
"NM-18907","GW","341683","3814640","false"
"SM-3026","L","442880","3640031","true"
"NM-12343","GW","552747","3672570","false"
"QY-0051","GW","609299","3880520","true"
"NM-21992","GW","341108","3883060","false"
"NM-01835","GW","342699","3526440","false"
"AH-081","GW","443409","4042232","true"
"NM-22085","GW","237531","3886450","false"
"NM-02408","GW","323161","3589420","false"
"NM-20514","GW","616567","3846960","false"
"SO-0095","GW","345681","3785430","true"
"NM-10960","GW","550067","3649830","false"
"NM-18280","GW","656097","3802910","false"
"NM-26596","GW","192061","4074360","false"
"NM-20446","GW","484769","3844290","false"
"NM-03590","GW","623003","3988600","false"
"BW-0127","GW","414165","3697070","true"
"NM-09270","GW","227391","3631890","false"
"ED-0258","GW","603277","3587420","true"
"NM-00548","GW","663664","3656890","false"
"EB-674","GW","415491","3938137","true"
"NM-03925","GW","342419","3523580","false"
"SD-0356","SP","390238","3872160","true"
"NM-05101","GW","269188","3561850","false"
"NM-19691","GW","622236","3831720","false"
"NM-25800","GW","604301","3997360","false"
"NM-28418","GW","588416","3562115","true"
"NM-09295","GW","226200","3632140","false"
"NM-11326","GW","630637","3657930","false"
"NM-18743","GW","620436","3811450","false"
"QY-0697","GW","600855","3841420","true"
"NM-04739","GW","667517","3554850","false"
