"WellID","WDBID","PointID","counter","ScreenTop","ScreenBottom","ScreenDescription","OBJECTID","GlobalID","SSMA_TimeStamp"
"BBEE0C57-7537-4610-B5A5-984E8F0F86C1","","NM-03416","0","539","544","","2809","1E7878D8-287F-4F64-96F6-5431ED6EBD6A","0x00000000002C4C19"
"ABB00A9A-0D9D-4B30-9C1F-D78B3AAF239F","467","EB-462","0","590","630","","525","65E83944-3C6A-4F4F-8FCE-54359CD54EDC","0x00000000002C4C1A"
"D2AC50DB-6EEF-4BB3-AE60-E7F74084C64C","33334","EB-629","0","1900","1920","","677","32E7A497-33F4-4FE4-8B76-543AA7BA1B50","0x00000000002C4C1B"
"670A6268-399A-4802-8513-7F68119A639E","","AB-0111","0","558","563","","2649","51B284EA-5872-4C11-940E-5448AA418021","0x00000000002C4C1C"
"F39B93BF-1F00-46E6-8954-DC3C31A4E444","397","EB-393","0","110","130","","452","B657C08E-7193-4CA8-9B98-54746FDA4A09","0x00000000002C4C1D"
"F56C1C92-8B89-4F6E-9014-13C9571509EA","","BC-0044","0","200","240","","4983","DA624CFC-AB92-4842-A1F3-549D50F793FD","0x00000000002C4C1E"
"D280B1ED-7E66-4C89-934D-B1F497C07426","","NM-26457","0","18","22","","3445","F32E45A0-AA4E-4CA7-815F-54FDADC95AEA","0x00000000002C4C1F"
"F7F714FE-E8B5-4889-8BA7-8F4C670CF730","","BC-0163","0","65","85","","5137","ADF47D67-0E9A-48F5-B92E-5500F9A68220","0x00000000002C4C20"
"86BCFF71-F030-4D89-83DB-5A15746EE91E","129","EB-128","0","380","400","","161","7E06657C-A55A-4FAC-BB0E-5512907E0B43","0x00000000002C4C21"
"C267CAD7-8FAF-4486-8EB4-C0E6ACE95332","","NM-24950","0","354","366","","3588","FA1DAB81-4E4D-4E1D-88AB-551937FA48DF","0x00000000002C4C22"
"E19F92B3-E89F-4721-AE2F-C6521B5FACD5","434","HS-018","0","20","30","","1202","DD407BBC-8C79-404E-953E-552222A78070","0x00000000002C4C23"
"340060E3-01EE-4089-93DB-E6EBE7654B07","414","HS-054","0","20","40","","1218","8EB817BE-4F03-4979-8A29-553E4F5C7984","0x00000000002C4C24"
"E7BCDA89-89F7-41C6-AB73-9B5CF492582C","","SV-0054","0","305","420","","3352","FAC27A49-8D51-417C-99F7-554E6D229EFD","0x00000000002C4C25"
"407EB28E-28B4-4E56-855A-BDBE4C612515","121","TV-101","0","380","450","","1035","E5376702-EB2E-431E-86BD-55657F972605","0x00000000002C4C26"
"C2CF2FB6-A781-4215-B11D-A301FEE86800","","AS-031","0","340","380","","1524","4667F546-71A3-48B0-9E56-556CB48E4B9F","0x00000000002C4C27"
"9A2F4456-2BB4-4F4E-8882-40FFEB170C17","","NM-26925","0","460","500","","5072","6476E7F2-E2B8-4E97-8392-556D83BE9519","0x00000000002C4C28"
"2331157A-4158-DB47-BB90-EC502DA4652C","","PC-105","0","186","196","","5395","3469D0DA-3B41-8648-A84B-557A634EDED6","0x00000000002C4C29"
"F1486D6B-1DDA-4E0C-9DE3-60B1651361BC","406","SA-0129","0","520","580","","860","D86FF09D-7335-471A-9AFB-557B16D07DDF","0x00000000002C4C2A"
"E5A14DD4-96B8-4188-B3A9-A6DA859C6606","","QY-0961","0","20","40","","2998","A12537FA-5CDE-4750-86F5-558AC6AEFD9B","0x00000000002C4C2B"
"695CF0C9-D248-414F-AE04-FA71A54F40E2","","QU-166","0","120","132","","2480","A29016FD-B72C-4078-AFB5-559255B293F6","0x00000000002C4C2C"
"C95944B7-5088-4FC4-A822-E3630A7588C4","","AH-104","0","420","480","","1791","7C3E7345-A188-415E-AB54-55A8A24B9AB9","0x00000000002C4C2D"
"16841242-88B3-4F10-A097-066B5E10D576","261","EB-257","0","50","65","","314","356CEBEE-14E3-478A-8A2D-55C2B2B3481A","0x00000000002C4C2E"
"FE5288EC-67B0-C04A-A017-E13ED52965AB","","TC-424","0","120","160","","5233","254E1780-4838-EC42-9A0A-55C3AD4EB456","0x00000000002C4C2F"
"B76F88F1-F9A6-4AE3-B711-CD15E384D2B8","","NM-24875","0","150","164","","3626","E01127E7-5334-4028-9EB3-560071FE95D7","0x00000000002C4C30"
"393A9FC5-9D01-4651-A223-1520E3DC8531","","QY-0135","0","120","160","","2961","ADC5E666-20D3-403D-BD5A-56225D0FCA70","0x00000000002C4C31"
"5D7E37D5-68D2-49E1-B4AB-C4270A69AD19","","AS-026","0","140","650","","1519","DE8D1F0E-230E-4CB4-853E-5642B7B144AB","0x00000000002C4C32"
"9FB946EB-BA11-423D-80B9-5D3E80D33A7F","","NM-25089","0","584","594","","3481","C526EB60-B184-4012-A72D-5648F79BBE55","0x00000000002C4C33"
"3A3B1BF7-5BEE-412A-A852-F4AEA4207A42","","TB-0203","0","101","103","Steel with torch cut slots","5638","F6BED2D1-33F7-9A49-B1C0-56712AB82F68","0x00000000002C4C34"
"38306B6E-B07F-4DBA-9189-00EAE4C9D0A5","","SV-0140","0","320","400","","5215","9BF383DC-4256-0549-A8C2-567F9166FEF6","0x00000000002C4C35"
"8A8CD4F2-1342-421E-B0A2-82D3FCABE3D4","","TB-0316","0","260","320","","3129","B52013D4-781C-4FCC-9EFF-568395C89F26","0x00000000002C4C36"
"CE9630D3-E10D-4971-8872-203BF39D5746","155755","TB-0211","0","140","160","","1311","46288957-1498-40D0-B1EC-568912E94C11","0x00000000002C4C37"
"D2025870-979C-3542-9501-0BA1A42B07FF","","WL-0133","0","65","75","","5593","08271463-21E9-8A44-A42D-568ABFB6F352","0x00000000002C4C38"
"16BC1C68-17E2-4640-B126-75CA3BB83D40","","AB-0096","0","278","582","","2636","893A23A4-2ECF-4A01-9CE8-568CDCF6D2E8","0x00000000002C4C39"
"FE35E603-ABB5-44BF-BEDA-D4DAACA1FC79","","TC-422","0","180","250","","5227","A72401DD-461A-2046-BBC0-569047C96C6A","0x00000000002C4C3A"
"B9F602F1-34D8-486B-8613-57986BE3567B","396","MG-035","0","380","420","","929","F1924813-352F-4CF9-8B5A-56A14D98197D","0x00000000002C4C3B"
"413E3FA2-53D8-49C2-8F9A-DCCFA7944A6D","78884","SM-0242","0","583","625","","844","D6F53726-805A-42B3-84F5-56B4B62B12E3","0x00000000002C4C3C"
"7E4845EC-878B-452F-A296-2A9F8CDF6CAC","","NM-03917","0","650","690","","3102","7CC1915A-9500-4418-83D0-56D7F2AADEC1","0x00000000002C4C3D"
"B704162F-BA34-46C2-85F4-51821A4EEF58","33233","EB-525","0","274","294","","600","76A9C9A4-7D1E-4A6C-8832-56E921AA9D11","0x00000000002C4C3E"
"7A8403BA-ACE4-4209-9C86-7830852F6DBE","","UC-0211","0","560","580","","2860","8380A261-A59A-4E5A-9CD1-56ED2970997E","0x00000000002C4C3F"
"8FF40080-AAD9-4D33-860D-19AC9F64C256","","NM-26713","0","80","100","","3805","AE6BA939-72E6-4C4F-9103-570103D73CB4","0x00000000002C4C40"
"737F3D89-07E0-43A7-A652-23FEB9C56B1A","","BC-0120","0","680","700","","5053","D7490F57-1659-4EAB-81DD-570C0E648198","0x00000000002C4C41"
"9E3C5FBC-C85B-4491-9812-B59D283CA253","352","MG-024","0","70","100","","918","5B3A7FAC-D71C-49F3-8C29-57334BB62D36","0x00000000002C4C42"
"7FC8A456-3ADF-40ED-AAA9-8AC5DA36ADFC","337","MG-009","0","160","200","","932","DDEB13A9-75A3-409C-8B30-573873FBA838","0x00000000002C4C43"
"CB518566-CB8F-4625-8678-2F0157F4F921","","NM-03337","0","144","149","","2818","A30E2D56-EE20-410E-8198-5741095156D4","0x00000000002C4C44"
"3CE62C1F-E860-2E49-AF7E-5226124C4315","","AR-0233","0","70","84","","5474","44E64290-30DF-8448-919D-575A2755A07C","0x00000000002C4C45"
"75EF7F3D-F10A-4972-9F61-3C9F13DBF15B","329","TV-287","0","340","420","","1195","EC9C9F51-2CDF-4B4B-BC17-577D4D971D2E","0x00000000002C4C46"
"77F2CE12-913A-4B6A-ADD8-3B0771A7CDFE","","NM-25046","0","65","290","","3496","2549F67B-3A37-405C-868B-5785FEFB93CF","0x00000000002C4C47"
"A096ADF9-BCC5-409C-9376-3F175CBC079E","144","EB-143","0","63","73","","177","AA8B71AB-EF43-43EF-B576-57A34BBE9A17","0x00000000002C4C48"
"D221EF5D-AB92-4C93-B999-C772D86179D6","","NM-04977","0","241","301","","3872","18BEBA8E-44E3-4C6D-BEDC-57B289C9DA62","0x00000000002C4C49"
"8BDC2319-14B9-4713-B07F-B70D815C9173","","WL-0016","0","200","240","","5748","34EB49A3-1AB0-2D49-8B70-57BD156B748F","0x00000000002C4C4A"
"A0E45379-30EF-430D-A9D8-55FAA0457273","","SV-0007","0","280","300","","3295","CA9E8E7A-39F7-4582-AF73-57C2053C9155","0x00000000002C4C4B"
"0C084AC7-9143-4FAA-930F-01249DE13188","33406","EB-688","0","600","800","","739","5592951E-6014-4026-8393-57C642574868","0x00000000002C4C4C"
"C1B9B27F-977D-4EAC-9FAE-AF1DCD08C85D","33301","EB-599","0","510","580","","646","6CC57A0A-7CD8-4EE0-8533-57D6821CD060","0x00000000002C4C4D"
"A1BDA7AB-912A-45A6-8D40-5EAB9BFF6DB8","","NM-25011","0","95","101","","3514","81986F6D-47E0-46ED-AD60-57E43D680C83","0x00000000002C4C4E"
"7F6F8534-E484-4072-B2C8-B22664A92FE9","155581","TB-0118","0","120","160","","1283","91B125E6-4960-4323-891C-57FF30A09536","0x00000000002C4C4F"
"2EA8E09C-585A-485A-973B-6A8396B746CB","","TC-282","0","80","223","","2148","498A81C5-4E6E-40B3-88DA-58135C59D531","0x00000000002C4C50"
"2561F89C-D4BB-457B-993A-AA827C6DE323","","AH-045","0","240","280","","1613","C2D0BF9C-E405-4ACF-8179-582D521534D3","0x00000000002C4C51"
"A37938B8-5A92-4A9D-A90B-4C93BF924000","","AR-0019","0","63","68","","2950","3180A4FF-6528-431B-AAF4-5834213EDC2C","0x00000000002C4C52"
"1134C047-2BBF-4DEB-B41F-2C58CCC4E1D8","33319","EB-614","0","65","90","","663","DC287E26-8CE4-4F02-AE20-583683430F1E","0x00000000002C4C53"
"18E4F21E-EB64-4C89-AD3E-9F495230A4F3","","AR-0120","0","10","29","","3081","96507772-89BC-411D-81B3-585937908067","0x00000000002C4C54"
"62B48770-E350-48F7-946F-22C9CDE61D7F","33275","EB-572","0","604","627","","614","2770ADAC-EBB5-40C0-A23C-58670B011435","0x00000000002C4C55"
"08F5959B-7159-4B0C-A9EF-9E6755847BB7","161","EB-160","0","306","344","","194","D8E38D6D-DB40-4E14-8382-58822427C046","0x00000000002C4C56"
"405D7B0A-1A4B-400C-BB13-F4734CB35C17","33405","EB-687","0","597","618","","736","4ACB978C-8665-4150-9A4F-58871D90741D","0x00000000002C4C57"
"FF5812D0-6E96-40BF-B3F1-5FE12D576BA2","","SV-0135","0","320","340","","5208","A4BBA875-94EB-C54B-B8EB-588735C4AB41","0x00000000002C4C58"
"FCF3C0A0-20CB-46E0-9229-AC3C7EC64476","","NM-26966","0","340","360","","5102","87ABC0DE-83D1-4DB9-8847-588D2DB44578","0x00000000002C4C59"
"DE776257-C20A-4273-A3E2-41DE86FEA70B","41","UC-0025","0","215","255","","1319","40BC49B5-6D34-4E90-A3CB-5890EBBB04EE","0x00000000002C4C5A"
"2428FFE6-25C2-41D8-9829-52CFE96CD5D8","","NM-01362","0","580","600","","3033","B9A54AA9-1E0A-49A4-B48E-5891B629B814","0x00000000002C4C5B"
"9E91B5F4-38D4-44BF-80F4-B952BAF71C37","","SV-0027","0","280","300","","3319","2AFCF4B4-37D3-497E-AF04-5898C4BAD310","0x00000000002C4C5C"
"B838F8EC-55CB-4216-BA6E-9CFE92360F39","","AB-0251","0","","","","5762","90A3C544-D83E-48D2-9D6A-58CE10DBCB76","0x00000000002CF39B"
"F942A094-EEA6-4253-8925-B2B70C8799DF","","NM-26795","0","4199","4695","","2867","9B5A544F-853C-428A-AAC8-58D036BFBB3C","0x00000000002C4C5D"
"2794010E-7B99-4160-A584-EB7BEC616759","","SV-0043","0","160","180","","3341","ECF858FA-A4C3-4E07-A747-58D790C9C2D6","0x00000000002C4C5E"
"7764FBE4-CAE5-4A2A-9F89-BB89F8444E89","105","EB-104","0","725","765","","130","879719FF-5842-4E52-A8A2-58DF900F7962","0x00000000002C4C5F"
"0134B68E-1224-48B0-AC20-EA19E9F887E2","274","TV-240","0","120","200","","1150","1C993C72-B2B6-4E04-B09B-58E850E9847F","0x00000000002C4C60"
"CB560093-DDCD-9146-A4A7-AED094293DFA","","WL-0053","0","160","240","","5180","22A54438-43EE-D347-952B-58F3952962D7","0x00000000002C4C61"
"DABEFA06-30E4-4B8E-ADDD-4300AE16EB9B","","SO-0151","0","40","44","","3149","755C5514-96B1-4143-8B1B-591DC1D0B67D","0x00000000002C4C62"
"7A53F750-88CB-4DA3-A51B-B7E1590D27DF","","TB-0314","0","130","200","","3127","EEA0172A-A135-47F9-B876-593EBBF02FEF","0x00000000002C4C63"
"DDD471E0-105B-478F-855C-28DDD55D6491","188","EB-187","0","140","200","","234","605CFEB7-4F3A-4E2C-A891-595AFD88BDE0","0x00000000002C4C64"
"CE79978A-CB17-436F-824A-700E1CD8ED06","","SV-0119","0","275","295","","3419","774BF660-4CE8-4D8B-968A-595B0A6D3591","0x00000000002C4C65"
"403461AC-B811-4318-870E-FABFCA3BA2A0","","AS-056","0","580","740","","1544","5AF9D532-4164-42E8-AA83-59606D3BDD9C","0x00000000002C4C66"
"46E80756-D6C7-4E0C-AD87-BF409D271E2E","","SO-0127","0","76","81","","3266","286C1DFD-D4CB-41BE-86FB-59679AD33956","0x00000000002C4C67"
"1F14ADBD-21C8-4CC1-A302-1BADBF51A4FF","","SV-0058","0","300","340","","3359","D8CE426C-B5C4-4672-B07E-596AA48990A4","0x00000000002C4C68"
